contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
INFY250620P00017000,2024-07-22 13:48:39+00:00,17.0,0.38,0.0,0.0,0.0,0.0,1.0,0.0,0.062509375,0.0,REGULAR,USD
INFY250620P00020000,2024-07-18 13:33:27+00:00,20.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0312596875,0.0,REGULAR,USD
INFY250620P00022000,2024-07-19 17:50:37+00:00,22.0,1.75,0.0,0.0,0.0,0.0,1.0,0.0,0.007822421875,0.0,REGULAR,USD
INFY250620P00027000,2024-07-26 16:36:17+00:00,27.0,4.5,0.0,0.0,0.0,0.0,5.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD
INFY260116P00010000,2024-01-16 15:51:19+00:00,10.0,0.2,0.05,0.75,0.0,0.0,2.0,34.0,0.5131884619140624,0.0,REGULAR,USD
INFY260116P00015000,2024-06-27 13:33:09+00:00,15.0,0.75,0.0,1.0,0.0,0.0,2.0,809.0,0.405279384765625,0.0,REGULAR,USD
INFY260116P00017000,2024-07-26 13:41:32+00:00,17.0,0.6,0.0,0.0,0.0,0.0,50.0,0.0,0.062509375,0.0,REGULAR,USD
INFY260116P00020000,2024-07-26 13:40:41+00:00,20.0,1.2,0.0,0.0,0.0,0.0,10.0,0.0,0.0312596875,0.0,REGULAR,USD
INFY260116P00022000,2024-03-12 17:29:40+00:00,22.0,3.3,2.35,5.8,0.0,0.0,1.0,35.0,0.57812921875,0.0,REGULAR,USD
INFY260116P00025000,2024-07-11 14:39:50+00:00,25.0,5.3,0.0,0.0,0.0,0.0,5.0,0.0,1.0000000000000003e-05,1.0,REGULAR,USD
INFY260116P00035000,2024-05-13 16:18:07+00:00,35.0,18.1,16.2,19.0,0.0,0.0,1.0,0.0,0.7751487329101563,1.0,REGULAR,USD
